text,polarity
"b""Trump attacks Republican leaders Paul Ryan and Mitch McConnell over debt ceiling 'mess' https://t.co/vpcC85syBT ^In\xe2\x80\xa6 https://t.co/kJRsql89O2""",negative
"b""Ooh, looks like I'll need popcorn for Wednesday's ep! Trump dossier might become public. @maddow's rubbing hands... https://t.co/5nNmoF6Qhd""",positive
"b'RT @PalmerReport: We\'ll always remember this as the day Donald Trump tweeted ""to bad"" and then deleted it and tweeted ""to bad"" again and th\xe2\x80\xa6'",negative
b'This Guy Tricks Pro-Trump Media Into Confusing Every Campaign Rally for the 2016 Cavaliers Championship Parade\xe2\x80\xa6 https://t.co/h1Y6Fm77N3',negative
"b'RT @ALT_uscis: Another day\nAnother Trump Supporter Coming out of hiding\nHi @MilwaukeePolice, here is a lead https://t.co/epKoMCe4Dm'",positive
"b'RT @RealJamesWoods: Do @TheDemocrats have an actual platform? They had #Obamacare, of course. Since then what is their new platform? Aside\xe2\x80\xa6'",positive
"b""RT @nowthisnews: OP-ED: Rep. Jackie Speier says Donald Trump is mentally unfit to be president \xe2\x80\x94 and it's time for the 25th Amendment https\xe2\x80\xa6""",negative
"b""RT @RealClearEd: Trump's Immigration Crackdown Is Traumatizing Students by @mkeierleber of @the74\nhttps://t.co/7C6aUiBzJ4 https://t.co/Qc7k\xe2\x80\xa6""",positive
b'Schumer: Dems will try to disband Trump voter fraud panel in must-pass bill https://t.co/RcagmHrKda',positive
"b""RT @GerberKawasaki: Let's dump this chump. Time to end Paul Ryan's political career. Could be the weakest #Republican of them all. Enough #\xe2\x80\xa6""",positive
"b""RT @votevets: There's NO reason for a transgender ban. Military isn't asking for it. Americans don't want it. This is about Trump embrace o\xe2\x80\xa6""",negative
b'RT @Impeach_D_Trump: Three things to follow in Trump/Russia Investigation:\n1) the money\n2) dead Russians\n3) who Trump fired.',negative
"b'RT @MichaelSkolnik: The NFL\xe2\x80\x99s marketing division donated $100,000 to Trump\xe2\x80\x99s inaugural committee, as did the Major League Baseball Commissi\xe2\x80\xa6'",positive
b'Pakistan urges U.S. to tackle militant sanctuaries in Afghanistan https://t.co/Q3Dbzb81q9',positive
b'RT @gelliottmorris: Sanders -&gt; Trump voters\xe2\x80\xa6\nWI: 51k\nMI: 47k\nPA: 116k\n\nTrump win margin\xe2\x80\xa6\nWI: 22k\nMI: 10k\nPA: 44k\n\n\xc2\xaf\\_(\xe3\x83\x84)_/\xc2\xaf https://t.co/0b\xe2\x80\xa6',positive
